municipio;grande_grupamento_atividade;cnae_secao;admitidos;desligados;saldo;variacao_relativa
;Indefinido;Indefinido;0;0;0;0.0
Salto;Indefinido;Indefinido;0;0;0;0.0
Salto;Agropecuária;Indefinido;0;0;0;0.0
Salto;Agropecuária;Indefinido;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;1;0;1;1.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;1;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;1;-1;-0.25
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;2;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;1;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;2;-2;-0.025
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;17;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;1;-1;-0.125
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;2;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;25;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;20;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;5;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;4;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;0;0;0;0.0
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;1;0;1;0.14285714285714285
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;17;16;80;4.8125
Salto;Agropecuária;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;19;0;0;0.0
Salto;Indústria;Indefinido;0;0;0;0.0
Salto;Indústria;Indefinido;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;1;-1;-0.005376344086021506
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;6;25;-19;-0.05555555555555555
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;2;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;1;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;4;3;1;0.1
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;4;24;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;2;-2;-0.047619047619047616
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;0;0;0;0.0
Salto;Indústria;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;1;-1;19;179.0
Salto;Indústria;Eletricidade e Gás;0;0;0;0.0
Salto;Indústria;Eletricidade e Gás;0;0;0;0.0
Salto;Indústria;Eletricidade e Gás;0;0;0;0.0
Salto;Indústria;Eletricidade e Gás;0;0;0;0.0
Salto;Indústria;Eletricidade e Gás;65;0;0;0.0
Salto;Indústria;Eletricidade e Gás;0;0;0;0.0
Salto;Indústria;Eletricidade e Gás;6;0;0;0.0
Salto;Indústria;Eletricidade e Gás;0;0;0;0.0
Salto;Indústria;Eletricidade e Gás;0;0;0;0.0
Salto;Indústria;Eletricidade e Gás;8;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;2;3;-1;-0.02702702702702703
Salto;Indústria;Indústrias de Transformação;2;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;1;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;5;7;-2;-0.02564102564102564
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;13;10;3;0.016666666666666666
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;3;3;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;1;-1;-0.05555555555555555
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;3;3;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;6;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
Salto;Indústria;Indústrias de Transformação;4;8;-4;-0.03278688524590164
Salto;Indústria;Indústrias de Transformação;0;0;0;0.0
